Factory Name,Factory Type,Product Type,"Nike, Inc. Brand(s)",Supplier Group,City,State,Postal Code,Country/Region,Region,Total Workers,Line Workers,% Female Workers,% Migrant Workers
JADE APPAREL INDUSTRIES SAE,FINISHED GOODS,APPAREL,NIKE,YESIM,ALEXANDRIA,BENDER,21934,Moldova,EMEA,1191,496,35.00%,7.70%
JADE LONG JOHN,MATERIALS,MATERIALS,NIKE,GOLD LONG JOHN,CHANGHUA,SHE-TOU SHANG,510,Taiwan,N ASIA,,,0.00%,0.00%
JADE TEXTILE EGYPT,FINISHED GOODS,APPAREL,NIKE,YESIM,10TH OF RAMADAN CITY,ASH SHARQIYAH,0,Egypt,EMEA,2540,1850,29.00%,15.90%
JADE TEXTILE ISMAILIA S.A.E,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,YESIM,ISMAILIA,AI ISMA ILIYAH,41611,Egypt,EMEA,1133,624,24.00%,2.40%
"JAPAN POLYMARK CO., LTD",FINISHED GOODS,EQUIPMENT,NIKE,NO SUPPLIER GROUP,FUKUI-CITY FUKUI,FUKUI,910-3607,Japan,N ASIA,152,105,61.00%,7.60%
JASAN SOCKS,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),VIETNAM,HAI PHONG,0,Vietnam,SE ASIA,2895,2780,75.00%,0.00%
"JIANGSU ASIAN SOURCING HEADWEAR MFG. CO., LTD",FINISHED GOODS,APPAREL,NIKE,ASIAN SOURCING HEADWEAR,HUAI AN,JIANGSU,223005,China,N ASIA,1130,1016,87.00%,0.00%
"JIANGSU HONGBAO SPORTING GOODS CO., LTD.",FINISHED GOODS,EQUIPMENT,NIKE,YEGIN,HUAIAN,JIANGSU,223400,China,N ASIA,382,267,80.00%,0.00%
"JIANGSU JINHUBAO GARMENT CO., LTD",FINISHED GOODS,APPAREL,Converse,DÉCOR,YANGZHOU,JIANGSU,225106,China,N ASIA,192,187,79.00%,0.00%
"JIANGXI GUANGYOU SHOETOWN FOOTWEAR CO., LTD.",FINISHED GOODS,FOOTWEAR,NIKE,SHOETOWN,NANCHANG,JIANGXI,330201,China,N ASIA,2711,1815,82.00%,0.00%
"JIANSHAN BENHUI PRINTING CO., LTD",FINISHED GOODS,APPAREL,NIKE,JIASHAN BENHUI,JIAXING,ZHEJIANG,314113,China,N ASIA,21,14,42.00%,0.00%
"JIAXING KANAAN BAG R&D CO.,LTD",FINISHED GOODS,EQUIPMENT,NIKE,KANAAN,JIAXIANG,ZHEJIANG,314002,China,N ASIA,134,61,81.00%,0.00%
"JIAXING QUANG VIET GARMENT CO., LTD.",FINISHED GOODS,APPAREL,NIKE,QUANG VIET,PING HU,ZHEJIANG,314211,China,N ASIA,1969,1692,51.00%,0.00%
"JINING YONGJIN SHOES CO., LTD.",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,TAEKWANG,JI NING CITY,SHANDONG,272500,China,N ASIA,1420,1404,98.00%,0.00%
JK GARMENTS PVT LTD,FINISHED GOODS,APPAREL,NIKE,HONSIN,KURUNEGALA,KURUNEGALA,60500,Sri Lanka,S ASIA,1070,775,90.00%,0.00%
JSI,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,TAEKWANG,BUSAN,,600-011,South Korea,N ASIA,640,374,22.00%,0.30%
JSI VINA CORPORATION,MATERIALS,MATERIALS,NIKE,TAEKWANG,GÒ D?U,TAY NINH,0,Vietnam,SE ASIA,,,0.00%,0.00%
KAGAWA FACTORY,FINISHED GOODS,EQUIPMENT,NIKE,LES GANT,KAGAWA,KAGAWA,761-0613,Japan,N ASIA,68,16,53.00%,0.00%
"KIM'S EMBROIDERY, INC.",FINISHED GOODS,APPAREL,NIKE,KIMS EMBROIDERY,PORTLAND,OREGON,97223,United States of America,AMERICAS,7,5,80.00%,0.00%
"KING RAY YENG INDUSTRIAL CO., LTD",FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),CHANGHWA,CHANGHUA,50071,Taiwan,N ASIA,225,180,52.00%,33.30%
"KITAI CO., LTD",FINISHED GOODS,APPAREL,NIKE,KITAI,KASHIBA,NARA,639-0241,Japan,N ASIA,53,48,55.00%,0.00%
"KKN APPAREL CO., LTD",FINISHED GOODS,APPAREL,NIKE,NICE APPAREL,NEANG KOK VILLAGE,KAOH KONG,0,Cambodia,SE ASIA,7284,6791,54.00%,1.50%
"K-L MFG. CO., INC.",FINISHED GOODS,APPAREL,NIKE,K & L MANUFACTURING,SPOKANE,WASHINGTON,99207,United States of America,AMERICAS,124,118,62.00%,0.00%
"KUNSHAN SABRINA CLOTHES MAKING CO., LTD.",FINISHED GOODS,APPAREL,NIKE,SABRINA,KUNSHAN,JIANGSU,215331,China,N ASIA,946,848,72.00%,0.00%
KUO YUEN (CHINA),MATERIALS,MATERIALS,NIKE,KUO YUEN,DONGGUAN,GUANGDONG,523000,China,N ASIA,,,0.00%,0.00%
KUO YUEN (VIETNAM),MATERIALS,MATERIALS,NIKE,KUO YUEN,NHON TRACH DISTRICT,DONG NAI,0,Vietnam,SE ASIA,,,0.00%,0.00%
"KWAN TAT VIETNAM CO., LTD",FINISHED GOODS,APPAREL,NIKE,TUNG MUNG,BÌNH D??NG,BÌNH DUONG,75211,Vietnam,SE ASIA,90,68,83.00%,10.30%
LATITUDES,FINISHED GOODS,APPAREL,NIKE,TEGRA,PORTLAND,OREGON,97211,United States of America,AMERICAS,60,42,57.00%,90.50%
LEADING STAR VIETNAM GARMENT COMPANY LIMITED,FINISHED GOODS,APPAREL,"NIKE, Converse",LEADING STAR,THUAN AN CITY,BÌNH DUONG,820000,Vietnam,SE ASIA,2837,2236,77.00%,0.00%
LEAGUE OPTICAL CENTER,FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (AP),ZHONGSHAN ,GUANGDONG,528463,China,N ASIA,42,38,39.00%,0.00%
"LEOTEX TEXTILE, S.A. DE C.V.",FINISHED GOODS,APPAREL,NIKE,JOWETT,CD. OBREGON,SONORA,85097,Mexico,AMERICAS,434,420,85.00%,10.50%
LES VETEMENTS SP APPAREL INC.,FINISHED GOODS,APPAREL,NIKE,SP APPAREL,GRANBY,QUEBEC,J2J 2B8,Canada,AMERICAS,117,77,90.00%,14.30%
"LI CHENG ENTERPRISE CO.,LTD",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,NO GROUP (FW),YUN-LIN HSIEN,,64645,Taiwan,N ASIA,492,346,46.00%,26.60%
LIM GROUP SRL,FINISHED GOODS,FOOTWEAR,Converse,LIM,MONTAGNANA,VENETO,,Italy,EMEA,26,19,25.00%,0.00%
LION BROTHERS FAR EAST,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,LION BROTHERS,BAOAN,GUANGDONG,518125,China,N ASIA,420,168,59.00%,0.00%
LOGO CAPITAL,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),ALEXANDRIA,VIRGINIA,22304,United States of America,AMERICAS,24,19,33.00%,0.00%
LONG AN EXPORT GARMENT JOINT STOCK COMPANY LASGE,FINISHED GOODS,APPAREL,NIKE,UNITED SWEETHEART,TAN AN,LONG AN,84-72,Vietnam,SE ASIA,915,700,70.00%,0.00%
LONG CHUAN SIMONA FOOTWEAR CO. LTD,FINISHED GOODS,FOOTWEAR,NIKE,STELLA,HEYUAN,GUANGDONG,517300,China,N ASIA,5366,4525,76.00%,0.00%
"LONG FA SHOES INDUSTRIAL HUIZHOU CO., LTD.",FINISHED GOODS,FOOTWEAR,NIKE,DEAN SHOES,HUIZHOU,GUANGDONG,516121,China,N ASIA,8438,4938,52.00%,0.00%
"LONG YUE SHOES INDUSTRIAL HUI ZHOU CO.,LTD.",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,DEAN SHOES,HUIZHOU,GUANGDONG,516000,China,N ASIA,3930,3120,65.00%,0.00%
"LONGCHUAN SOMONA FOOTWEAR CO.,LTD WUHUA BRANCH",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,STELLA,MEIZHOU,GUANGDONG,514400,China,N ASIA,882,820,96.00%,0.00%
LONGWAY VIETNAM COMPANY LIMITED,FINISHED GOODS,EQUIPMENT,NIKE,LONGWAY,DUC HOA,LONG AN,863900,Vietnam,SE ASIA,1100,815,80.00%,0.00%
LOTUS FOOTWEAR ENTERPRISES LIMITED UNIT-2,FINISHED GOODS,FOOTWEAR,NIKE,FENG TAY,NEAR KANCHIPURAM,TAMIL NADU,631701,India,S ASIA,5930,4556,52.00%,0.00%
LOTUS FOOTWEAR ENTERPRISES LTD. (INDIA BRANCH) - UNIT 1,FINISHED GOODS,FOOTWEAR,NIKE,FENG TAY,VEMBAKKAM TALUK,TAMIL NADU,PIN 631701,India,S ASIA,3255,2478,65.00%,0.00%
LYNKA SP. Z O.O.,FINISHED GOODS,APPAREL,NIKE,LYNKA,SKAWINA,MALOPOLSKIE,32-050,Poland,EMEA,329,200,60.00%,0.00%
M/S STYLE TEXTILE (PVT.) LIMITED (SUNDER) - UNIT VI,FINISHED GOODS,APPAREL,NIKE,STYLE TEXTILE,LAHORE,PUNJAB,54700,Pakistan,S ASIA,5608,4792,16.00%,0.00%
MAJESTIC ATHLETIC,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),EASTON,PENNSYLVANIA,18045,United States of America,AMERICAS,430,340,55.00%,0.00%
MANUFACTURAS KALTEX,FINISHED GOODS,APPAREL,Converse,NO GROUP (AP),SANTIAGO DE QUERÉTARO,MÉXICO,76800,Mexico,AMERICAS,1365,1355,1.00%,0.10%
"MANUFACTURE OF ARTISTIC BELT & ACCESSORIES CO., LTD.",FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),BEN CAT TOWN,BÌNH DUONG,82575,Vietnam,SE ASIA,60,55,65.00%,0.00%
MAPLE COMPANY LIMITED,FINISHED GOODS,APPAREL,NIKE,TAI WAH,HAI PHONG CITY,HAI PHONG,4000,Vietnam,SE ASIA,894,785,75.00%,0.00%
MARCHON ITALIA SRL A SU,FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),ALPAGO,BELLUNO,32016,Italy,EMEA,301,156,62.00%,0.00%
MAS  KREEDA MIHINTALE,FINISHED GOODS,APPAREL,NIKE,MAS HOLDINGS,MIHINTALE,ANURADHAPURA,50300,Sri Lanka,S ASIA,1134,680,83.00%,0.00%
MAS ACTIVE PVT LTD - CONTOURLINE DIVISION,FINISHED GOODS,APPAREL,NIKE,MAS HOLDINGS,NUGEGODA,KANDY,0,Sri Lanka,S ASIA,1660,1300,76.00%,0.00%
MAS ACTIVE PVT. LTD - SYNERGY,FINISHED GOODS,APPAREL,NIKE,MAS HOLDINGS,AVISSAWELLA,COLOMBO,10700,Sri Lanka,S ASIA,2159,1492,89.00%,0.00%
MAS ACTIVE TRADING PVT LTD - LINEA INTIMO,FINISHED GOODS,APPAREL,NIKE,MAS HOLDINGS,COLOMBO,COLOMBO,42000,Sri Lanka,S ASIA,680,679,41.00%,0.00%
MAS ACTIVE TRADING PVT LTD - VAANAVIL DIVISION,FINISHED GOODS,APPAREL,NIKE,MAS HOLDINGS,COLOMBO,COLOMBO,42000,Sri Lanka,S ASIA,1761,1275,80.00%,0.00%
MAS FABRICS (PVT.) LTD - MATRIX,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,MAS HOLDINGS,THULHIRIYA,KURUNEGALA,71610,Sri Lanka,S ASIA,2012,1016,50.00%,0.00%
MAS FABRICS PVT LTD - METHLIYA,FINISHED GOODS,APPAREL,NIKE,MAS HOLDINGS,KEGALLE,,71000,Sri Lanka,S ASIA,2003,1356,94.00%,0.00%
MATSUDA BABY SANGYO,FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),KASHIHARA,NARA,634-0817,Japan,N ASIA,23,22,74.00%,40.90%
MAXPORT  LIMITED (VIET NAM) _ THAI BINH BRANCH ( MAXPORT 09),FINISHED GOODS,APPAREL,NIKE,MAXPORT,HANOI,THÁI BÌNH,410000,Vietnam,SE ASIA,2464,1990,75.00%,0.00%
MAXPORT LIMITED VIET NAM _ NAM DINH BRANCH MAXPORT 06,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),NAM DINH,NAM ÐNH,42000,Vietnam,SE ASIA,525,473,1.00%,0.20%
MAXPORT LIMITED VIET NAM NAM DINH BRANCH MAXPORT 05,FINISHED GOODS,APPAREL,NIKE,MAXPORT,NAM DINH,NAM ÐNH,42000,Vietnam,SE ASIA,1504,1336,76.00%,0.00%
MAZEN (JIANG MEN)INDUSTRIES LIMITED,FINISHED GOODS,EQUIPMENT,Converse,MAZEN,JIANGMEN,GUANGDONG,529100,China,N ASIA,233,127,20.00%,90.60%
"MEN-CHUEN FIBRE INDUSTRY CO., LTD. (VIETNAM)",MATERIALS,MATERIALS,NIKE,MEN CHUEN,BIEN HOA,DONG NAI,NA,Vietnam,SE ASIA,,,0.00%,0.00%
MILTEKS TEKSTIL SANAYI VE TICARET A S,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,MILTEKS,ERKENEZ MAHALLESI ,ISTANBUL,34520,Turkey,EMEA,176,95,38.00%,0.00%
MILTEKS TEKSTIL SANAYI VE TICARET A.S. AJARA TEXTILE LTD,FINISHED GOODS,APPAREL,NIKE,MILTEKS,BATUMI,AJARIA,6000,Georgia,EMEA,608,481,97.00%,0.00%
"MINONE ENTERPRISES CO., LTD.",FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),NANGRONG,BURI RAM,31110,Thailand,SE ASIA,638,572,75.00%,0.00%
NAM DINH STELLA FOOTWEAR CO. LTD.,FINISHED GOODS,FOOTWEAR,NIKE,STELLA,NAM DINH,NAM ÐNH,420000,Vietnam,SE ASIA,8255,7790,76.00%,1.40%
NAM THIEN COMPANY LIMITED,FINISHED GOODS,APPAREL,NIKE,SOUTH ISLAND,HO CHI MINH,HO CHI MINH,700000,Vietnam,SE ASIA,636,540,75.00%,0.00%
NAN YANG GARMENT,FINISHED GOODS,APPAREL,NIKE,NAN YANG,"LADYAO, NAKHONSAWAN",NAKHON SAWAN,60150,Thailand,SE ASIA,1421,1126,74.00%,25.40%
"NAN YANG GARMENT CO., LTD. (NONGKHAM)",FINISHED GOODS,APPAREL,NIKE,NAN YANG,NONGKHAM,BANGKOK,10160,Thailand,SE ASIA,988,833,75.00%,54.00%
"NAN YANG GARMENT CO., LTD. (WACHIRABARAMEE)",FINISHED GOODS,APPAREL,NIKE,NAN YANG,WACHIRABARAMEE,PHICHIT,66140,Thailand,SE ASIA,2608,2196,79.00%,0.00%
"NAN YANG GARMENT CO.,LTD (SAMPRAN)",FINISHED GOODS,APPAREL,NIKE,NAN YANG,SAMPRAN,NAKHON PATHOM,73110,Thailand,SE ASIA,12711,12421,65.00%,8.50%
NAN YANG KNITTING FACTORY,MATERIALS,MATERIALS,NIKE,NAN YANG,KRATUMBAN,BANGKOK METROPOLIS,74110,Thailand,SE ASIA,,,0.00%,0.00%
NATIONAL EMBLEM WANG CHU EMBROIDERY CO.,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,NATIONAL EMBLEM,NEW TAIPEI CITY,NEW TAIPEI,Zhonge District,Taiwan,N ASIA,13,10,85.00%,30.00%
NEW HOLLAND APPAREL DE NICARAGUA S A,FINISHED GOODS,APPAREL,NIKE,TEGRA,MANAGUA,MANAGUA,0,Nicaragua,AMERICAS,1813,1511,51.00%,0.50%
NICE APPAREL COMPANY LIMITED,FINISHED GOODS,APPAREL,NIKE,NICE APPAREL,MUANG DISTRICT,NONTHABURI,11000,Thailand,SE ASIA,1224,1095,72.00%,20.00%
NICE APPAREL COMPANY LIMITED BRANCH CHUMPHAE,FINISHED GOODS,APPAREL,NIKE,NICE APPAREL,CHUMPAE,BANGKOK,40130,Thailand,SE ASIA,4164,3722,67.00%,0.00%
NINGBO BELL GARMENT INDUSTRIAL CO. LTD,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),NINGBO,ZHEJIANG,315033,China,N ASIA,80,72,70.00%,0.00%
NINGBO EASTEX,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),NINGBO,ZHEJIANG,32151,China,N ASIA,238,200,70.00%,0.00%
"NINGBO HUAYAO TEXTILE CO.,LTD",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),NINGBO,ZHEJIANG,315800,China,N ASIA,894,729,84.00%,0.00%
"NINGBO MITSUBANA APPERAL CO., LTD",FINISHED GOODS,APPAREL,Converse,NINGBO MITSUBANA,NINGBO,ZHEJIANG,315207,China,N ASIA,69,52,83.00%,0.00%
NINGBO SHENZHOU KNITTING CO. LTD,FINISHED GOODS,APPAREL,NIKE,NINGBO,NINGBO,ZHEJIANG,315800,China,N ASIA,2890,2661,65.00%,0.00%
NINGBO SHENZHOU KNITTING CO. LTD. -#6 GARMENT FACTORY,FINISHED GOODS,APPAREL,NIKE,NINGBO,NINGBO,ZHEJIANG,315800,China,N ASIA,2490,2295,70.00%,0.00%
NINGBO SHENZHOU KNITTING CO. LTD. (PRINTING MILL & MC),FINISHED GOODS,APPAREL,NIKE,NINGBO,NINGBO,ZHEJIANG,315800,China,N ASIA,365,343,52.00%,0.00%
"NINGBO SHENZHOU KNITTING CO., LTD (NINGBO)",MATERIALS,MATERIALS,NIKE,NINGBO,NINGBO,ZHEJIANG,315800,China,N ASIA,,,0.00%,0.00%
"NINGBO SHENZHOU KNITTING CO.,LTD #3 GARMENT FACTORY",FINISHED GOODS,APPAREL,NIKE,NINGBO,NINGBO,ZHEJIANG,315800,China,N ASIA,2506,2256,55.00%,0.00%
NK APPAREL CO LTD,FINISHED GOODS,APPAREL,NIKE,NICE APPAREL,KHON KAEN,,40000,Thailand,SE ASIA,1146,1126,70.00%,0.00%
NV APPAREL COMPANY LIMITED,FINISHED GOODS,APPAREL,NIKE,NICE APPAREL,AN GIANG,AN GIANG,880000,Vietnam,SE ASIA,2737,2662,80.00%,1.20%
"NYG (VIETNAM) CO.,LTD",FINISHED GOODS,APPAREL,NIKE,NAN YANG,LONG KHANH ,ÐNG NAI,810000,Vietnam,SE ASIA,1455,1065,75.00%,2.00%
"OLIVE APPAREL CAMBODIA CO., LTD",FINISHED GOODS,APPAREL,NIKE,TAI WAH,PHNOM PENH,PHNOM PENH,12405,Cambodia,SE ASIA,2886,2622,88.00%,0.00%
"OPTECH CO., LTD.",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),SAMUTSAKORN,SAMUT SAKHON,74110,Thailand,SE ASIA,82,71,70.00%,0.00%
"OREGON SCREEN IMPRESSIONS, INC.",FINISHED GOODS,APPAREL,NIKE,OREGON SCREEN IMPRESSIONS,PORTLAND,OREGON,97232,United States of America,AMERICAS,130,64,52.00%,0.00%
ORIENTAL GARMENT AN GIANG CO LTD,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),AN GIANG,AN GIANG,,Vietnam,SE ASIA,571,485,82.00%,2.10%
"ORIENTAL GARMENT CO., LTD – NONGBUADANG",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),NONGBUADANG,,36210,Thailand,SE ASIA,220,167,80.00%,0.00%
ORIGINAL APPAREL PRIVATE LIMITED,FINISHED GOODS,APPAREL,NIKE,MAS HOLDINGS,WEERAWILA,HAMBANTOTA,82632,Sri Lanka,S ASIA,580,360,95.00%,0.00%
"PACIFIC ATHLETIC WEAR, INC.",FINISHED GOODS,APPAREL,NIKE,PACIFIC ATHLETIC WEAR,GARDEN GROVE,CALIFORNIA,92841,United States of America,AMERICAS,103,78,63.00%,0.00%
"PAPILLION TEXTILE (CAMBODIA) CO., LTD",FINISHED GOODS,APPAREL,NIKE,TUNTEX,PHNOM PENH,PHNOM PENH,12412,Cambodia,SE ASIA,2115,1900,95.00%,0.40%
"PARAMOUNT APPAREL INTERNATIONAL, INC.",FINISHED GOODS,APPAREL,NIKE,PARAMOUNT,BOURBON,MISSOURI,65441,United States of America,AMERICAS,403,204,64.00%,0.00%
"PARAMOUNT APPAREL INT'L, INC. WINONA MO",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),WINONA,MISSOURI,65588,United States of America,AMERICAS,87,84,1.00%,1.20%
PETTENATI,FINISHED GOODS,APPAREL,NIKE,PETTENATI,CAXIAS DO SUL,RIO GRANDE DO SUL,95010.55,Brazil,AMERICAS,421,322,84.00%,2.50%
PETTENATI CENTRO AMERICA SA DE CV,MATERIALS,MATERIALS,NIKE,PETTENATI,COATEPEQUE,SAN SALVADOR,N/A,El Salvador,AMERICAS,,,0.00%,0.00%
"PILOT KNIT SPORT WEAR CAMBODIA CO., LTD.",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),PHNOM PENH CITY,KAMPONG CHAAM,12100,Cambodia,SE ASIA,520,431,1.00%,0.20%
"PILOTKNIT SPORT WEAR CO.,LTD.",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),MUANG,SAMUT SAKHON,74000,Thailand,SE ASIA,575,484,68.00%,70.20%
PINE TREE COMPANY FOR TEXTILE MANUFACTURING PSC,FINISHED GOODS,APPAREL,NIKE,TAI WAH,AMMAN,AMMAN,110109,Jordan,EMEA,2375,2149,77.00%,78.50%
"PINGHU LIPAI BAGS AND LUGGAGE CO., LTD.",FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),PINGHU,ZHEJIANG,314202,China,N ASIA,174,125,72.00%,0.00%
PINGXIANG CITY GUANGXUAN FOOTWEAR CO. LTD.,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,SHOETOWN,PINGXIANG,JIANGXI,337000,China,N ASIA,1401,1168,96.00%,0.00%
"PLV CO., LTD",FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),TRANG BANG,TÂY NINH,84000,Vietnam,SE ASIA,183,159,1.00%,0.60%
PMI JOINEASE PLASTIC & METAL PRODUCTS,FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),HUI ZHOU,GUANGDONG,516131,China,N ASIA,1006,684,52.00%,0.00%
PONY LEATHER,MATERIALS,MATERIALS,NIKE,PONY LEATHER,CHANG HUA,T'AI-WAN,40876,Taiwan,N ASIA,,,0.00%,0.00%
POU CHEN CORPORATION,FINISHED GOODS,FOOTWEAR,NIKE,POU CHEN,CHANGHUA,CHANGHUA,506,Taiwan,N ASIA,2150,576,73.00%,0.00%
POU CHEN VIETNAM ENTERPRISE LTD.,FINISHED GOODS,FOOTWEAR,NIKE,POU CHEN,BIEN HOA CITY,ÐNG NAI,76123,Vietnam,SE ASIA,17347,14056,85.00%,0.00%
POVOLO SRL,FINISHED GOODS,APPAREL,NIKE,POVOLO,GALLARATE,VARESE,21013,Italy,EMEA,23,23,90.00%,8.70%
POWER WIN PLASTIC PRODUCTS S.Z. COMPANY LIMITED,FINISHED GOODS,EQUIPMENT,NIKE,POWER WIN,SHENZEN,GUANGDONG,,China,N ASIA,142,81,66.00%,0.00%
PPSEC COMPANY LIMITED,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,SEC ACCESSORIES,PHNOM PENH,PHNOM PENH,0,Cambodia,SE ASIA,0,0,0.00%,0.00%
PRAEGEAR VIET NAM COMPANY LIMITED,FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),DUC HOA DISTRICT,LONG AN,82000,Vietnam,SE ASIA,1508,1379,76.00%,4.40%
PREMIER OPTICAL SHENZHEN LIMITED COMPNAY,FINISHED GOODS,EQUIPMENT,Converse,NO GROUP (EQ),SHENZHEN,GUANGDONG,510000,China,N ASIA,146,115,1.00%,0.90%
PRESTIGE GARMENT CO. LTD.,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),KANDAL  PROVINCE,KANDAAL,8371,Cambodia,SE ASIA,692,644,65.00%,1.40%
PRIME ASIA (CHINA),MATERIALS,MATERIALS,"NIKE, Converse",PRIME ASIA,DONGGUAN,GUANGDONG,,China,N ASIA,,,0.00%,0.00%
PRIME ASIA (VIETNAM),MATERIALS,MATERIALS,NIKE,PRIME ASIA,TAN THANH,DONG NAI,N/A,Vietnam,SE ASIA,,,0.00%,0.00%
PRO KINGTEX VIETNAM COMPANY LIMITED,FINISHED GOODS,APPAREL,NIKE,EAGLE NICE,HO CHI MINH CITY,HO CHI MINH,700000,Vietnam,SE ASIA,2505,2204,89.00%,96.20%
"PROMAX TEXTILE CO., LTD. -6TH ROAD",MATERIALS,MATERIALS,NIKE,"PROMAX TEXTILE CO., LTD.",NHON TRACH DISTRICT,DONG NAI,737,Vietnam,SE ASIA,,,0.00%,0.00%
PT ADIS DIMENSION FOOTWEAR,FINISHED GOODS,FOOTWEAR,NIKE,SHOETOWN,TANGERANG,BANTEN,15610,Indonesia,S ASIA,7410,7095,50.00%,0.00%
PT CHANGSHIN REKSAJAYA,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,CHANGSHIN,GARUT,JAWA BARAT,44152,Indonesia,S ASIA,7949,7411,91.00%,0.20%
PT DAYUP INDO,FINISHED GOODS,EQUIPMENT,NIKE,DAYUP,JAKARTA,JAKARTA RAYA,14140,Indonesia,S ASIA,1403,1300,90.00%,1.00%
PT DONG A DECAL,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),,JAKARTA RAYA,14140,Indonesia,S ASIA,384,349,44.00%,1.40%
PT EAGLE NICE INDONESIA,FINISHED GOODS,APPAREL,NIKE,EAGLE NICE,KABUPATEN SERANG,BANTEN,42186,Indonesia,S ASIA,2778,1833,70.00%,1.20%
PT KMK GLOBAL SPORTS / K1,FINISHED GOODS,FOOTWEAR,NIKE,KMK,TANGERANG,BANTEN,15710,Indonesia,S ASIA,13191,12110,81.00%,0.00%
PT MAREL SUKSES PRATAMA,FINISHED GOODS,EQUIPMENT,Converse,NO GROUP (EQ),YOGYAKARTA,YOGYAKARTA,55285,Indonesia,S ASIA,186,85,54.00%,0.00%
PT MITRA GARINDO PERKASA,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),BOGOR,,16964,Indonesia,S ASIA,515,419,90.00%,0.00%
PT MORICH INDO FASHION,FINISHED GOODS,APPAREL,NIKE,MORICH,SEMARANG,JAWA TENGAH,50552,Indonesia,S ASIA,2211,42,84.00%,0.00%
PT NIKOMAS GEMILANG,FINISHED GOODS,FOOTWEAR,NIKE,POU CHEN,SERANG,BANTEN,42186,Indonesia,S ASIA,21411,18865,83.00%,0.30%
PT PRATAMA ABADI INDUSTRI (TANGERANG SELATAN),FINISHED GOODS,FOOTWEAR,NIKE,PRATAMA,TANGERANG SELATAN,BANTEN,15325,Indonesia,S ASIA,6627,5299,75.00%,1.00%
PT PRATAMA ABADI INDUSTRI (SUKABUMI),FINISHED GOODS,FOOTWEAR,NIKE,PRATAMA,SUKABUMI,JAWA BARAT,43191,Indonesia,S ASIA,21104,19137,70.00%,0.00%
PT R PRIMA JAYA,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),SEMARANG,,50117,Indonesia,S ASIA,667,557,88.00%,0.00%
PT SELALU CINTA INDONESIA,FINISHED GOODS,FOOTWEAR,NIKE,KMK,SALATIGA,JAWA TENGAH,50735,Indonesia,S ASIA,180,120,80.00%,0.00%
PT SEMARANG GARMENT,FINISHED GOODS,APPAREL,NIKE,KUKDONG,SEMARANG,,50552,Indonesia,S ASIA,3540,3119,95.00%,0.00%
PT SHOETOWN KASOKANDEL INDONESIA,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,SHOETOWN,MAJALENGKA,,45453,Indonesia,S ASIA,2902,2135,58.00%,0.00%
PT TRIGOLDENSTAR WISESA,FINISHED GOODS,APPAREL,NIKE,TRIGOLDENSTAR,KARAWANG,JAWA BARAT,41371,Indonesia,S ASIA,486,395,76.00%,0.00%
