Factory Name,Factory Type,Product Type,"Nike, Inc. Brand(s)",Supplier Group,City,State,Postal Code,Country/Region,Region,Total Workers,Line Workers,% Female Workers,% Migrant Workers
DONGJIN TEXTILE DYEING HOUSE,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,NO GROUP (FW),"SA-HA GU, BUSAN",BUSAN GWANGYEOGSI,49432,South Korea,N ASIA,41,36,17.00%,16.70%
"DONGUAN LEE FONG LABEL MANUFACTURE CO., LTD",FINISHED GOODS - COMPONENTS,APPAREL,NIKE,LEE BOU LABEL ENTERPRISE,DONGGUAN CITY,GUANGDONG,,China,N ASIA,660,558,65.00%,0.00%
DRAGON CROWD GARMENT INC.,FINISHED GOODS,APPAREL,NIKE,DRAGON CROWD,NINGBO,ZHEJIANG,315000,China,N ASIA,199,159,51.00%,0.00%
DUCKSAN YANBEOL RI,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,DUCKSAN,GYEONGGI-DO,,12774,South Korea,N ASIA,24,21,41.00%,14.30%
EAGLE NICE JINGMEN GARMENTS CO LTD,FINISHED GOODS,APPAREL,NIKE,EAGLE NICE,JINGMEN,HUBEI,43100,China,N ASIA,1990,1125,77.00%,0.00%
"EAGLE NICE YIFENG GARMENTS CO., LTD",FINISHED GOODS,APPAREL,NIKE,EAGLE NICE,YIFENG,JIANGXI,EAG01,China,N ASIA,2188,1589,95.00%,0.00%
EAST WIND FOOTWEAR CO LTD,FINISHED GOODS,FOOTWEAR,NIKE,FENG TAY,TAMIL NADU,TAMIL NADU,631701,India,S ASIA,6198,6160,68.00%,0.10%
"ECLAT TEXTILE CO., LTD",MATERIALS,MATERIALS,NIKE,"ECLAT TEXTILE CO., LTD.",TAOYUAN CITY,T'AI-WAN,337,Taiwan,N ASIA,,,0.00%,0.00%
"ECLAT TEXTILE CO., LTD VN",FINISHED GOODS,APPAREL,NIKE,ECLAT,DONG NAI,ÐNG NAI,81,Vietnam,SE ASIA,5500,5106,90.00%,0.00%
EL BARON,FINISHED GOODS,APPAREL,NIKE,TEGRA,SAN PEDRO SULA,CORTÉS,,Honduras,AMERICAS,3328,920,52.00%,1.00%
"ELITE INVESTMENT WORLDWIDE CO., LTD",FINISHED GOODS,APPAREL,NIKE,TUNG MUNG,HO CHI MINH,HO CHI MINH,700000,Vietnam,SE ASIA,1681,1563,67.00%,0.00%
ELTA COMPANY LIMITED,FINISHED GOODS,APPAREL,NIKE,ELTA,BANGKOK,BANGKOK,10520,Thailand,SE ASIA,245,196,77.00%,0.00%
"E-TOP (VIETNAM) CO.,LTD",FINISHED GOODS,APPAREL,NIKE,ECLAT,BA RIA-VUNG TAU,BÀ RA - VUNG TÀU,795600,Vietnam,SE ASIA,3732,3439,96.00%,0.00%
EVER TECH,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,NO GROUP (FW),TAN UYEN DISTRICT,BÌNH DUONG,84,Vietnam,SE ASIA,674,593,42.00%,0.00%
EVEREST TEXTILE,MATERIALS,MATERIALS,NIKE,EVEREST,TAINAN CITY,T'AI-WAN,74342,Taiwan,N ASIA,,,0.00%,0.00%
EVEREST TEXTILE CHINA,MATERIALS,MATERIALS,NIKE,EVEREST,SHANGHAI,SHANGHAI,201419,China,N ASIA,,,0.00%,0.00%
"EVEREST TEXTILE CO., LTD. ",MATERIALS,MATERIALS,NIKE,EVEREST,RATCHABURI,CENTRAL,70110,Thailand,SE ASIA,,,0.00%,0.00%
EVERGREEN APPAREL MFG.,FINISHED GOODS,APPAREL,NIKE,YY & ASSOCIATES,HILLSBORO,OREGON,97124,United States of America,AMERICAS,24,20,70.00%,0.00%
FA.IS.A. D.O.O.,FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),NOVIGRAD,,52466,Croatia,EMEA,43,40,90.00%,2.50%
FAIRWAY ENTERPRISES COMPANY LTD (FENG TAY),FINISHED GOODS,FOOTWEAR,NIKE,FENG TAY,KRISHNAGIRI,TAMIL NADU,635304,India,S ASIA,6424,5921,55.00%,0.10%
FAR EASTERN,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,FAR EASTERN,TAOYUAN,TAOYUAN,328,Taiwan,N ASIA,1,1,1.00%,100.00%
FAR EASTERN APPARAL SUZHOU LTD. CO,FINISHED GOODS,APPAREL,NIKE,FAR EASTERN,SUZHOU,JIANGSU,215128,China,N ASIA,1019,686,92.00%,0.00%
FAR EASTERN APPAREL (VIETNAM) LIMITED,FINISHED GOODS,APPAREL,NIKE,FAR EASTERN,THUAN AN,BÌNH DUONG,75000,Vietnam,SE ASIA,3385,3213,83.00%,0.70%
FAR EASTERN APPAREL LIMITED VIETNAM,FINISHED GOODS,APPAREL,NIKE,FAR EASTERN,BINH DUONG,BÌNH DUONG,750000,Vietnam,SE ASIA,1089,817,76.00%,0.00%
FAR EASTERN NEW APPAREL (VIETNAM) LTD (MDC),FINISHED GOODS,APPAREL,NIKE,FAR EASTERN,BINH PHUOC,BÌNH PHUC,830000,Vietnam,SE ASIA,2986,2138,74.00%,0.00%
"FASHION GARMENTS 2 CO., LTD - UNIT 1",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),BIEN HOA,ÐNG NAI,810000,Vietnam,SE ASIA,368,348,87.00%,0.00%
"FASHION GARMENTS 2 CO., LTD - XUAN TAY",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),XUAN TAY,ÐNG NAI,810000,Vietnam,SE ASIA,560,534,85.00%,0.00%
"FASHION GARMENTS LTD., UNIT 2",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),BIEN HOA,ÐNG NAI,810000,Vietnam,SE ASIA,1612,1523,85.00%,0.00%
FE NEW CENTURY INDUSTRY (SINGAPORE) PTE LTD,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,FAR EASTERN,SUZHOU,JIANGSU,215128,China,N ASIA,1,1,1.00%,100.00%
"FENG TAY ENTERPRISE CO., LTD",FINISHED GOODS,FOOTWEAR,NIKE,FENG TAY,DOU LIOU,YUNLIN,640,Taiwan,N ASIA,1873,352,50.00%,0.00%
FIBRAN CIA. LTDA.,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),QUITO,PICHINCHA,,Ecuador,AMERICAS,738,664,61.00%,0.20%
FITA TEKSTIL KONF.LTD.STI,FINISHED GOODS,APPAREL,NIKE,YESIM,BURSA,BURSA,16100,Turkey,EMEA,438,407,75.00%,0.00%
"FJORD, LTD.",FINISHED GOODS,APPAREL,NIKE,TEGRA,WOODBURN,OREGON,97071,United States of America,AMERICAS,116,78,88.00%,0.00%
FOOTMARK CAMBODIA CORPORATION,FINISHED GOODS,APPAREL,NIKE,FOOTMARK,PHNOM PENH,KANDAAL,,Cambodia,SE ASIA,160,150,70.00%,0.00%
"FORMOSA TAFFETA CO., LTD",MATERIALS,MATERIALS,NIKE,FORMOSA TAFFETA (FTC),TOULIU,,640,Taiwan,N ASIA,,,0.00%,0.00%
"FORMOSA TAFFETA CO., LTD (CHINA)",MATERIALS,MATERIALS,NIKE,FORMOSA TAFFETA (FTC),CHANGSHU,JIANGSU,215500,China,N ASIA,,,0.00%,0.00%
"FORMOSA TAFFETA, CO LTD VIETNAM",MATERIALS,MATERIALS,NIKE,FORMOSA TAFFETA (FTC),BEN LUC,LONG AN,NA,Vietnam,SE ASIA,,,0.00%,0.00%
FRAMAS KOREA,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,NO GROUP (FW),ASAN,CHOONGNAM,336-875,South Korea,N ASIA,46,,20.00%,0.00%
"FRAMAS KOREA VINA CO., LTD",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,NO GROUP (FW),DONG NAI,ÐNG NAI,815300,Vietnam,SE ASIA,965,805,40.00%,0.00%
